title,director,country,release_year,rating,duration,listed_in,description
Me and the Alien,Jesús Magaña Vázquez,Mexico,2016,7,83 min,"Comedies, Dramas, International Movies","Hoping to pump up their sound, a punk band hires Pepe, a keyboardist with Down Syndrome, but tensions erupt when he steals the show with his talent."
Malena Pichot: Estupidez compleja,"Raúl Campos, Jan Suter",Argentina,2018,,51 min,Stand-Up Comedy,"An Argentine comedian espouses the values of feminism, speaking on topics like sex, language, abortion and why it's OK to let a man buy you dinner."
Nowhere Man,DJ Chen,Taiwan,2019,5,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure","Two nefarious schemes taking place 10 years apart entangle a dauntless triad member, who must break out of prison to rescue a loved one."
Miss Hokusai,Keiichi Hara,Japan,2015,9,90 min,Anime Features,"Herself a talented artist, O-Ei works with her father, Tetsuzo, later known as Hokusai, on the woodblock prints that would make Edo famous worldwide."
Kacche Dhaagey,Buta Singh,India,2016,9,120 min,"Dramas, International Movies, Romantic Movies","While visiting India for her cousin's wedding, a Canadian girl develops strong feelings for a boy from a lower caste."
Coco y Raulito: Carrusel de ternura,"Raúl Campos, Jan Suter",Mexico,2018,,57 min,Stand-Up Comedy,"A study in contrasts, comedy partners and good friends Coco Celis and Raúl Meneses alternate separate stand-up sets for double the laughs."
Running Shaadi,Amit Roy,India,2017,,115 min,"Comedies, International Movies, Romantic Movies","A Bihari migrant runs a successful service to help couples elope, until the daughter of his former boss stirs the pot."
Kidnapping Mr. Heineken,Daniel Alfredson,"Netherlands, Belgium, United Kingdom, United States",2015,10,95 min,"Action & Adventure, Dramas, International Movies","When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history."
XXx,Rob Cohen,United States,2002,6,124 min,"Action & Adventure, Sports Movies",A notorious underground rush-seeker deemed untouchable by the law is coerced into cooperating with the government to infiltrate a Russian crime ring.
Big Kill,Scott Martin,United States,2018,6,126 min,Action & Adventure,A tenderfoot and two gamblers seeking their fortunes in a boom town instead find themselves defending it from a gunslinging preacher and his gang.
The Mayor,Park In-je,South Korea,2017,7,130 min,"Dramas, International Movies","With the presidency in mind, the incumbent mayor of Seoul runs for an unprecedented third term – and will stop at nothing to keep his secrets hidden."
Tig,"Kristina Goolsby, Ashley York",United States,2015,,92 min,"Documentaries, Stand-Up Comedy",Comedian Tig Notaro announced her cancer diagnosis at what became a legendary stand-up set in 2012. Follow her search for humor amid devastating news.
Shorts,Robert Rodriguez,"United States, United Arab Emirates",2009,,89 min,"Children & Family Movies, Comedies",Chaos erupts when locals learn that an 11-year-old boy has discovered a mysterious rock that grants the wishes of whoever possesses it.
Big Miracle,Ken Kwapis,"United States, United Kingdom",2012,,107 min,"Children & Family Movies, Dramas","After a reporter writes about whales trapped in the Arctic Circle, the U.S. and U.S.S.R. team up to rescue them in this tale inspired by true events."
Locked Up,Jared Cohn,United States,2017,7,86 min,"Action & Adventure, Dramas, Independent Movies","After getting in a fight at her school in Southeast Asia, an American teen is sent to a correctional facility, where she faces hard labor and abuse."
Maya Memsaab,Ketan Mehta,"France, United Kingdom, India",1993,8,122 min,"Dramas, International Movies, Music & Musicals","A beautiful, wealthy woman’s insatiable appetite for romance leads to tragedy and a police investigation."
Justice,Ahmed Khaled Moussa,United Arab Emirates,2018,9,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","Defying pressure to join her father's firm, a determined young lawyer strikes out on her own and fights to maintain faith in Abu Dhabi's justice system."
Because We're Heading Out,Khaled El Halafawy,Egypt,2016,9,99 min,"Comedies, International Movies",Trouble and high jinks ensue when a man and woman stumble on a bag full of money while out on the town.
Despite Everything,Gabriela Tagliavini,Spain,2019,6,79 min,"Comedies, International Movies, Romantic Movies","After their mother's death, four sisters learn a shocking family secret and embark on an adventure to discover the truth about their genealogy."
Taal,Subhash Ghai,India,1999,,177 min,"Dramas, International Movies, Music & Musicals","Businessman Manav falls for aspiring singer Mansi, but their romance faces an uphill climb when Manav must depart and Mansi's suave manager moves in."
The Time Traveler's Wife,Robert Schwentke,United States,2009,9,107 min,"Dramas, Romantic Movies, Sci-Fi & Fantasy","Due to a genetic disorder, handsome librarian Henry involuntarily zips through time, appearing at various moments in the life of his true love."
Woody Woodpecker,Alex Zamm,United States,2017,4,91 min,"Children & Family Movies, Comedies",A rascally bird with a distinctive laugh pecks back with a vengeance when his forest habitat is threatened by a slick lawyer building his dream home.
Juanita,Clark Johnson,United States,2019,,90 min,"Dramas, Independent Movies, Romantic Movies","Burdened by troubles in life and love, a mother of three grown children searches for hope and healing on an impromptu trip to Paper Moon, Montana."
The Last Exorcism,Daniel Stamm,"France, United States",2010,,88 min,"Horror Movies, Independent Movies, Thrillers","Ready to expose his miraculous deeds as mere trickery, a famed evangelist invites a documentary crew to film his final exorcism."
Kill Hitler! The Luck of the Devil,Frédéric Tonolli,France,2015,7,53 min,"Documentaries, International Movies","From politicians to officers, many attempted to kill Hitler – and failed. This documentary delves into the details of how their plots unraveled."
The River Thief,N.D. Wilson,United States,2016,4,87 min,"Dramas, Independent Movies","A heedless teen drifter who falls for a small-town waitress makes the mistake of robbing a drug lord, putting his life and newfound love in jeopardy."
Boi,Jorge M. Fontana,Spain,2018,,111 min,"Dramas, Independent Movies, International Movies",A young chauffeur who's at a crossroads in his life escorts a pair of clients around Barcelona and becomes embroiled in their mysterious quest.
Deon Cole: Cole Hearted,Ryan Polito,United States,2019,6,70 min,Stand-Up Comedy,"Embracing his belief that comedy is the last raw form of expression, Deon Cole explains the right time to thank Jesus and the wrong time to say ""welp."""
Gerald's Game,Mike Flanagan,United States,2017,5,103 min,"Horror Movies, Thrillers","When her husband's sex game goes wrong, Jessie – handcuffed to a bed in a remote lake house – faces warped visions, dark secrets and a dire choice."
King of Boys,Kemi Adetiba,Nigeria,2018,4,182 min,"Dramas, International Movies","When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything."
Jackie: A Tale of Two Sisters,Edward Cotterill,United Kingdom,2017,,44 min,Documentaries,"Rachael Stirling narrates this multifaceted portrait of former First Lady Jacqueline Kennedy Onassis and her younger sister, Lee Radziwill."
Lionheart,Genevieve Nnaji,Nigeria,2018,,95 min,"Comedies, Dramas, Independent Movies","When her father falls ill, Adaeze steps up to run the family business – alongside her uncle – and prove herself in a male-dominated world."
Phantom Boy,"Jean-Loup Felicioli, Alain Gagnol","France, Belgium",2015,8,85 min,"Action & Adventure, Dramas, International Movies",A boy whose illness allows him to float outside his body uses his newfound skill to help a cop take on a madman who's terrorizing New York City.
Surga Yang Tak Dirindukan 2,"Hanung Bramantyo, Meisa Felaroze",Indonesia,2017,7,119 min,"Dramas, Faith & Spirituality, International Movies","In this sequel to the award-winning 2015 film, Pras, Arini and Meirose face new challenges that could change the dynamic of their unique love triangle."
Daagdi Chaawl,Chandrakant Kanse,India,2015,,118 min,"Action & Adventure, Dramas, International Movies",A simple man's peaceful life is complicated when an incident brings him in contact with a gangster and launches his journey into the underworld.
Handsome Devil,John Butler,Ireland,2016,4,95 min,"Comedies, Dramas, International Movies","A self-described outsider is sent to a rugby-obsessed boarding school, where he forms an unexpected bond with the star player."
Heal,Kelly Noonan,United States,2017,9,107 min,Documentaries,"Stories from spiritual leaders, physicians and those with chronic illnesses reveal the powerful connection between the human psyche and physical health."
Danny Says,Brendan Toller,United States,2015,5,103 min,"Documentaries, Music & Musicals","This documentary profiles eccentric publicist Danny Fields, who helped launch the careers of innovative new artists who would become musical icons."
Jagat,Shanjey Kumar Perumal,Malaysia,2015,,76 min,"Dramas, International Movies","In early 1990s Malaysia, a Tamilian boy faces pressure from his immigrant father to focus on school but is drawn to his uncles’ lives of crime."
Movie 43,"Peter Farrelly, Will Graham, Steve Carr, Griffin Dunne, Steve Brill, James Duffy, Jonathan van Tulleken, Elizabeth Banks, Patrik Forsberg, Brett Ratner, Rusty Cundieff, James Gunn",United States,2013,,94 min,Comedies,"An eye-popping cast stars in this sketch-comedy collage, the new millennium's homage to classic anthology films like The Kentucky Fried Movie."
Romantik Komedi 2: Bekarlığa Veda,Erol Özlevi,Turkey,2013,8,105 min,"Comedies, International Movies, Romantic Movies","Didem tries everything to get actor Cem to propose to her, but he's got other things on his mind: a beautiful new co-star and a secret bachelor party."
Kanavu Variyam,Arun Chidambaram,India,2017,,104 min,"Comedies, Dramas, International Movies","Despite doubts from fellow villagers who think he’s crazy, an ambitious dropout commits himself to solving a persistent local electricity crisis."
"Crouching Tiger, Hidden Dragon",Ang Lee,"Taiwan, Hong Kong, United States, China",2000,10,120 min,"Action & Adventure, International Movies, Romantic Movies",A young woman in ancient China longs for an adventurous life rather than a dull arranged marriage in Ang Lee's Oscar-winning martial arts epic.
Dedemin Fisi,Meltem Bozoflu,Turkey,2016,,101 min,"Comedies, International Movies","When a brain-dead family patriarch is about to be taken off life support, his extended family gathers round and plots to see who'll get his money."
The Lives of Others,Florian Henckel von Donnersmarck,Germany,2006,,138 min,"Dramas, International Movies, Thrillers","As a secret police agent eavesdrops on a successful writer in East Germany in 1984, he becomes increasingly fascinated by the man's life and politics."
Submission,J.M. Berrios,United States,2019,5,95 min,"Action & Adventure, Dramas","After a near-death trip home, a Marine looking to help his comrade survive returns to the underground world of MMA, where new battles await."
Monty Python and the Holy Grail,"Terry Gilliam, Terry Jones",United Kingdom,1975,10,92 min,"Action & Adventure, Classic Movies, Comedies",The Monty Python comedy clan skewers King Arthur and his Knights of the Round Table as they quest far and wide for the Holy Grail.
Ascharyachakit!,Samit Kakkad,India,2018,,90 min,"Dramas, Independent Movies, International Movies","Entangling the lives of a movie star, a chauffeur, a prostitute and a pimp, this bold drama reveals ugly truths beneath Mumbai’s glitzy veneer."
Dear Santa,Jason Priestley,Canada,2011,,92 min,"Comedies, Romantic Movies","Finding a letter mailed to Santa by a girl asking for a new wife for her daddy, twentysomething Crystal sets out to make the girl's wishes come true."
Running for Grace,David L. Cunningham,United States,2018,,110 min,"Dramas, Romantic Movies","In 1920s Hawaii, a young man of mixed race and the daughter of a white plantation owner must overcome racial and class prejudice to be together."
Red Christmas,Craig Anderson,Australia,2016,,81 min,Horror Movies,A family Christmas gathering at an isolated Australian estate turns into the holiday from hell after a mysterious stranger turns up at the door.
What a Wonderful Family!,Huang Lei,China,2017,,102 min,"Comedies, Dramas, International Movies","In a large family living under one roof, a storm brews when the matriarch requests a divorce from her husband on their 50th anniversary."
The Pursuit of Happyness,Gabriele Muccino,United States,2006,9,117 min,Dramas,"When Chris and his son are evicted, they face trying times as a desperate Chris accepts an unpaid internship at a stock brokerage firm."
Fishtronaut: The Movie,"Célia Catunda, Kiko Mistrorigo, Rodrigo Eba",Brazil,2018,,78 min,Children & Family Movies,"Fishtronaut, Marina and Zeek travel to the big city in search of Grandpa, only to find that everyone else has mysteriously vanished too."
Girlfriend's Day,Michael Paul Stephenson,United States,2017,,71 min,"Comedies, Independent Movies","When he's caught up in a deadly conspiracy, an unemployed greeting card writer must create the perfect card for a new holiday to save his skin."
Rodney King,Spike Lee,United States,2017,10,53 min,Dramas,Roger Guenveur Smith gives voice to the man at the center of the brutal police beating that helped fuel the 1992 LA riots. Spike Lee directs.
Monopoly (The Bank Of Luck),Ahmed El Gendy,Egypt,2017,,117 min,"Comedies, International Movies","Seeking revenge on his employer, a lazy bank agent and his two dim-witted friends concoct an elaborate but flawed heist."
Spanish Affair 2,Emilio Martínez Lázaro,Spain,2015,9,107 min,"Comedies, International Movies, Romantic Movies",Spanish provincialism is put into the spotlight as a man from the Basque Country embarks on a mission to keep his daughter from marrying a Catalan.
Cult of Chucky,Don Mancini,United States,2017,5,90 min,Horror Movies,"Following a string of murders in the asylum where she's confined, Nica Pierce begins to wonder whether Chucky is real after all."
Oh! Baby (Malayalam),B. V. Nandini Reddy,India,2019,,146 min,"Comedies, International Movies, Music & Musicals",A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life.
Natalia Valdebenito: Gritona,Natalia Valdebenito,United States,2017,,76 min,Stand-Up Comedy,"Chile's Natalia Valdebenito hits Santiago's Teatro Caupolicán with a one-woman show steeped in irony, a dash of improv and her own personal style."
You Get Me,Brent Bonacorso,United States,2017,,89 min,"Dramas, Thrillers","After a one-night stand, Holly develops a dangerous obsession with Tyler and transfers to his high school, desperate to keep their ""romance"" alive."
Pukar,Rajkumar Santoshi,India,2000,9,165 min,"Action & Adventure, Dramas, International Movies",A notorious terrorist manipulates an Indian army major's jilted lover into helping him obtain a classified military code.
Tom Segura: Mostly Stories,Jay Karas,United States,2016,,74 min,Stand-Up Comedy,"The bearded, bawdy and comically bitter Tom Segura gets real about body piercings, the ""Area 51"" of men's bodies, and the lie he told Mike Tyson."
We Belong Together,Chris Stokes,United States,2018,,83 min,Thrillers,A divorced professor shares a night of passion with a troubled student who quickly develops an unhealthy – perhaps deadly – infatuation.
My Suicide,David Lee Miller,United States,2009,,111 min,"Comedies, Dramas, Independent Movies","After declaring that he's going to film himself committing suicide for a school project, Archie videotapes reactions from friends and family."
3 Generations,Gaby Dellal,United States,2015,4,92 min,"Dramas, LGBTQ Movies","When teenage Ray begins transitioning from female to male, his single mom and grandmother must cope with the change while tracking down his father."
Hattrick,Milan Luthria,India,2007,10,109 min,"Comedies, Dramas, International Movies",Stories of personal victories coincide with Team India's battle for the Cricket World Cup in this engaging ensemble drama.
Virsa,Pankaj Batra,"India, Pakistan",2010,4,127 min,"Dramas, International Movies, Music & Musicals",A man is disheartened when he visits his well-to-do son and grandkids in Australia and sees they have detached from their traditional Indian morals.
Pee-wee's Big Holiday,John Lee,United States,2016,,90 min,"Children & Family Movies, Comedies, Cult Movies",A chance encounter with a mysterious stranger (Joe Manganiello) points Pee-wee toward his destiny – and his first-ever holiday!
Secrets of the Tower of London,Vicky Matthews,United Kingdom,2013,5,55 min,Documentaries,"Explore the storied history of the iconic Tower of London as it evolved from a royal castle into a dungeon prison and, finally, an armory and mint."
Blue Jasmine,Woody Allen,United States,2013,,98 min,"Comedies, Dramas, Independent Movies",The high life leads to high anxiety for a fashionable New York City homemaker in crisis who finds herself forced to live a more modest lifestyle.
Ghost Tears,Kazuchika Kise,Japan,2014,,58 min,"Action & Adventure, Anime Features, International Movies","As Motoko and Batou attempt to thwart a mysterious terrorist group, Togusa tracks the killer of a man with a prosthetic leg made by Mermaid's Leg."
Annabelle Hooper and the Ghosts of Nantucket,Paul Serafini,United States,2016,6,92 min,Children & Family Movies,"While vacationing on picturesque Nantucket, a crafty teenage mystery writer contends with two thieves as she tries to solve a ghostly conundrum."
Quién te cantará,Carlos Vermut,"Spain, France",2018,,125 min,"Dramas, Independent Movies, International Movies","When a near-drowning leaves a famous singer from the '90s with amnesia, she hires a karaoke singer who can imitate her to prep her for a comeback tour."
Bill Burr: You People Are All the Same,Jay Karas,United States,2012,8,69 min,Stand-Up Comedy,"Funnyman Bill Burr takes the stage to uncork a profanity-laced, incisive routine that pokes fun at plastic surgery, reality TV, gold diggers and more."
Superfly,Gordon Parks,United States,1972,6,91 min,"Action & Adventure, Classic Movies, Dramas","To get away from the thug life, cocaine dealer Youngblood Priest puts together one last deal that will net him enough money to start over."
The Super,Stephan Rick,United States,2017,,89 min,Horror Movies,"When an ex-cop becomes a superintendent of an apartment building, he suspects the sinister janitor is behind the eerie disappearances of its tenants."
Meghnadbodh Rohoshyo,Anik Datta,India,2017,,150 min,"Dramas, International Movies","A professor mysteriously vanishes, leaving behind a host of suspects, a shadowy history and a clue: the anonymous birthday gift of a Bengali classic."
Victim of Beauty,Roger Young,United States,1991,,93 min,"Dramas, Thrillers",A beauty pageant winner is stalked by a serial killer who kidnaps her sister and torments her family in this thriller based on a shocking true story.
Bad Rap,Salima Koroma,"United States, Canada",2016,,83 min,"Documentaries, Music & Musicals",Four young Asian-American rappers strive to achieve success on their own terms in a musical genre that often treats them as outsiders.
Yoga Hosers,Kevin Smith,United States,2016,,88 min,"Comedies, Horror Movies, Independent Movies","With an all-important high school party at stake, two teen yoga fanatics enlist a man hunter to help fight an army of monsters created by Nazis."
Face 2 Face,Matt Toronto,United States,2017,,89 min,"Dramas, Independent Movies","Two former friends, who now live far apart, learn about each other's insecurities and secrets over a series of video chats."
Misfit,Erwin van den Eshof,Netherlands,2017,,81 min,"Children & Family Movies, Comedies, International Movies","After living in America for years, a teenage girl moves back to the Netherlands and is quickly singled out as a misfit by the popular clique at school."
Di Renjie zhi Sidatianwang,Hark Tsui,"China, Hong Kong",2018,,132 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy","Framed by an empress who plans to steal a dragon-taming mace, imperial magistrate Dee Renjie soon uncovers a greater plot that threatens the kingdom."
Sand Storm,Elite Zexer,"Israel, Germany, France",2016,8,88 min,"Dramas, Independent Movies, International Movies","When a Bedouin patriarch takes a second bride, his first wife chafes against her changing status while his daughter chases her own dreams of autonomy."
Katti Batti,Nikhil Advani,India,2015,9,132 min,"Comedies, Dramas, International Movies","After falling in love during college, architect Maddy and free spirit Payal have five wonderful years together, until a mystery suddenly divides them."
Beyond Skyline,Liam O'Donnell,"United Kingdom, China, Canada, Indonesia, Singapore, United States",2017,9,107 min,"Action & Adventure, Sci-Fi & Fantasy","In the wake of an extraterrestrial invasion, a suspended L.A. cop teams up with survivors to stop the onslaught and rescue human captives."
Cheese in the Trap,Lee Yoon-jung,South Korea,2016,,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","In this adaptation of a popular webtoon, a poor student trying to navigate college life gains the attention of a wealthy upperclassman with a dark side."
Power Rangers: Megaforce: The Robo Knight Before Christmas,James Barr,United States,2013,4,24 min,Children & Family Movies,Robo Knight learns the meaning of Christmas from a group of children when he is mistaken for a donated Christmas toy and is shipped to a foreign land.
Filmworker,Tony Zierra,United States,2017,,94 min,Documentaries,Leon Vitali had a thriving acting career most others would envy. Then he gave it all up to devote himself completely to the vision of Stanley Kubrick.
Rocky III,Sylvester Stallone,United States,1982,8,100 min,"Dramas, Sports Movies","After taking a pounding from a powerful young fighter, humbled world champ Rocky Balboa turns to ex-rival Apollo Creed for help in regaining his form."
The Imaginarium of Doctor Parnassus,Terry Gilliam,"United Kingdom, Canada, France, United States",2009,,123 min,"Action & Adventure, Sci-Fi & Fantasy","When a deal with the devil comes due, the immortal Doctor Parnassus must renegotiate the pact to save his daughter and right the wrongs of his past."
The Invisible Guest,Paulo Oriol,Spain,2016,8,106 min,"International Movies, Thrillers","After waking next to his now-dead lover in a hotel room, a young businessman hires a prominent lawyer to figure out how he ended up a murder suspect."
Oh! Baby (Tamil),B. V. Nandini Reddy,India,2019,7,146 min,"Comedies, International Movies, Music & Musicals",A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life.
My Perfect Romance,Justin G. Dyck,Canada,2018,,92 min,"International Movies, Romantic Movies","Just in time for Valentine's Day, a program developer pitches a revolutionary dating algorithm to her new CEO, who volunteers them as guinea pigs."
Monster Island,Leopoldo Aguilar,"India, Mexico",2017,6,81 min,Children & Family Movies,"When a teenager discovers he's not really human, he ventures out to a remote island to explore his roots and confronts a series of wild challenges."
Liss Pereira: Reteniendo líquidos,Fernando Ayllón,Brazil,2019,,59 min,Stand-Up Comedy,"A pregnant Liss Pereira shares hilariously uncomfortable truths about sex, love, attraction and the lies we tell in modern relationships."
Berserk: The Golden Age Arc III - The Advent,Toshiyuki Kubooka,Japan,2013,,107 min,"Action & Adventure, Anime Features, International Movies","A year after he left the Band of the Hawk, Guts rejoins them in an epic battle to vanquish the God Hand and save Griffith from a hellish fate."
The Bucket List,Rob Reiner,United States,2007,,97 min,"Comedies, Dramas",Two terminally ill men bust out of the cancer ward with a plan to experience life to the fullest before they kick the bucket.
Can't Help Falling in Love,Mae Czarina Cruz,Philippines,2017,8,120 min,"Comedies, Dramas, International Movies","Gab is eager to tie the knot with her handsome boyfriend, but there's a problem, and it's a doozy: She's already married to a total stranger."
The Matrix,"Lilly Wachowski, Lana Wachowski",United States,1999,5,136 min,"Action & Adventure, Sci-Fi & Fantasy","A computer hacker learns that what most people perceive as reality is actually a simulation created by machines, and joins a rebellion to break free."
The Figurine (Araromire),Kunle Afolayan,Nigeria,2009,10,121 min,"Horror Movies, International Movies, Thrillers","When a pair of friends discovers a mystical sculpture in an abandoned shrine, good fortune is bestowed upon them – until luck starts running out."
Mythily Veendum Varunnu,Sabu Varghese,India,2017,4,88 min,"Horror Movies, International Movies","After losing her father, a young woman moves to the city to earn money. When she finds a job at a mysterious bungalow, her worst nightmares come true."
Do Paise Ki Dhoop Chaar Aane Ki Baarish,Deepti Naval,India,2009,,121 min,"Dramas, Independent Movies, International Movies","When a sex worker hires a gay songwriter to care for her disabled son, the ensuing bonds that form offer a complex portrayal of love and family."
The Ryan White Story,John Herzfeld,United States,1989,7,94 min,Dramas,"After contracting HIV from a tainted blood treatment, teenaged hemophiliac Ryan White is forced to fight for his right to attend public school."
Naa Bangaaru Talli,Rajesh Touchriver,India,2013,6,122 min,"Dramas, International Movies","A father leading a dark double life and his daughter, who's eager to pursue her studies in Hyderabad, face the tragic consequences of sex trafficking."
Darna Mana Hai,Prawal Raman,India,2003,4,116 min,"Horror Movies, International Movies, Thrillers","Stranded in a jungle when their car breaks down, six friends pass their time exchanging horror stories, unaware that they may be part of one themselves."
Tere Naal Love Ho Gaya,Mandeep Kumar,India,2012,,127 min,"Comedies, International Movies, Romantic Movies","Mini isn't eager to wed the rich suitor who's been chosen for her, so she stages her own kidnapping and runs off with a man who works for her father."
Echo in the Canyon,Andrew Slater,United States,2019,,82 min,"Documentaries, Music & Musicals","An affectionate documentary looks back at the mid-1960s, when Hollywood’s Laurel Canyon was a creative nexus for young, innovative musicians."
Middle School: The Worst Years of My Life,Steve Carr,"United States, Cambodia",2016,7,92 min,"Children & Family Movies, Comedies","At Hills Village Middle School, budding cartoonist Rafe and best pal Leo challenge their uptight principal by breaking every rule in his handbook."
Leo the Lion,Mario Cambi,"United States, Italy",2013,,78 min,"Children & Family Movies, Comedies","Eschewing the carnivorous ways of his fellow lions, maverick Leo follows a vegetarian diet – causing the other lions to shun him."
Escape from Mr. Lemoncello’s Library,Scott McAboy,United States,2017,7,69 min,Children & Family Movies,An eccentric game designer builds a library full of traps and tricks for a group of kids who score the chance to navigate his elaborate scavenger hunt.
The Lobster,Yorgos Lanthimos,"Ireland, United Kingdom, Greece, France, Netherlands",2015,5,119 min,"Comedies, International Movies, Romantic Movies","In a near-future world, single people are hunted and forced to find mates within 45 days, or be turned into animals and banished to the wilderness."
The Water Diviner,Russell Crowe,"Australia, United States",2014,,111 min,"Dramas, International Movies","Years after the presumed death of his three sons in battle, a grieving farmer journeys to Turkey to find them and return them to their homeland."
P,Paul Spurrier,"United Kingdom, Thailand",2006,,105 min,"Horror Movies, International Movies","An orphan girl taught magic by her sick grandma must find work in seedy Bangkok, where unsavory characters run afoul of her increasingly dark powers."
The Wedding Party 2: Destination Dubai,Niyi Akinmolayan,Nigeria,2017,,98 min,"Comedies, International Movies, Romantic Movies","In this sequel to the 2016 hit ""The Wedding Party,"" a couple's date night ends in an accidental proposal, sparking a series of chaotic family events."
The Wedding Party,Kemi Adetiba,Nigeria,2016,10,101 min,"Comedies, Dramas, International Movies","As their big day arrives, a couple's lavish wedding plans turn into a nightmare of exes, fighting parents and uninvited guests."
The Blue Umbrella,Vishal Bhardwaj,India,2005,10,90 min,"Children & Family Movies, Dramas, Independent Movies","A charming allegory based on a novella by Ruskin Bond, this visually stunning film from India explores themes of greed, loneliness, longing and loss."
Tarif de nuit,Julien Seri,France,2015,10,81 min,"International Movies, Thrillers","A night out in Paris quickly unravels when two friends provoke the wrong taxi driver, who's after something bigger than cab fare."
Krystal,William H. Macy,United States,2017,,93 min,"Comedies, Dramas",A kid with a heart condition falls for an ex-stripper with a lot of baggage and joins her Alcoholics Anonymous group to catch her attention.
Mallesham,Raj R,India,2019,7,131 min,"Dramas, Independent Movies, International Movies","A self-trained engineer risks debt, love and reputation in his quest to improve the grueling work conditions of his mother and her weaving community."
Entanglement,Jason James,Canada,2018,,85 min,"Dramas, Independent Movies, Romantic Movies","After his ailing father makes a shocking confession, a desperately depressed man sets out to find the woman he believes will change his destiny."
Incomplete,Suman Mukhopadhyay,India,2017,,119 min,"Dramas, International Movies, Romantic Movies","A man returns to his childhood hometown, where he meets the happily married woman he once jilted, while his best friend endures a more volatile union."
Azhar,Anthony D'Souza,India,2016,,129 min,"Dramas, International Movies, Sports Movies","This biopic traces the tumultuous life and career of top cricket player Mohammad Azharuddin, who led India's national team in the 1990s."
A Wednesday,Neeraj Pandey,India,2008,4,103 min,"Action & Adventure, Dramas, International Movies","After receiving an anonymous tip about a bomb, a police commissioner must negotiate with the terrorist, who demands the release of four militants."
Jim Gaffigan: Mr. Universe,Jay Karas,United States,2012,5,77 min,Stand-Up Comedy,"Funnyman Jim Gaffigan offers up his unique take on everything from Disney World to overweight whales in this live show from Washington, D.C."
The Pursuit,John Papola,United States,2019,5,76 min,Documentaries,"In a time of turbulence for the free market system, one economist explores how it has lifted billions out of poverty, and might just save us all."
Cop Car,Jon Watts,United States,2015,,88 min,Thrillers,Two mischievous boys get thrust into a game of cat and mouse with a murderous psychopath after they decide to steal a police officer’s cruiser.
Swiped,Ann Deborah Fishman,United States,2018,,94 min,Comedies,"When two college roommates develop a groundbreaking hookup app, casual affairs – and complications – soon run rampant on campus."
Young Adult,Jason Reitman,United States,2011,8,94 min,"Comedies, Dramas, Independent Movies","When a divorced writer gets a letter from an old boyfriend announcing his wife's had a baby, she returns to her hometown to reconnect with her ex."
Sample This,Dan Forrer,United States,2012,10,83 min,"Documentaries, Music & Musicals","This doc traces the impact of the Incredible Bongo Band's ""Apache,"" which played a key role in the birth of hip-hop after Kool Herc began sampling it."
The Water Horse: Legend of the Deep,Jay Russell,"New Zealand, United Kingdom, Australia",2007,9,112 min,Children & Family Movies,A boy watches an egg he found hatch into something incredible. But how long can he keep such a big secret from his mom – and the Scottish government?
Joan Rivers: Don't Start with Me,Scott L. Montoya,United States,2012,,69 min,Stand-Up Comedy,"At 78, Joan Rivers has no interest in slowing down, and no one's immune from her caustic barbs in this stand-up special."
Late Life: The Chien-Ming Wang Story,Frank W Chen,"United States, Taiwan",2018,,98 min,"Documentaries, Sports Movies",Injuries sidelined the bright career of New York Yankees pitcher Chien-Ming Wang. This documentary captures his relentless battle back to the majors.
The World's Most Wanted Animal,Victoria Bromley,United Kingdom,2018,,53 min,Documentaries,"A conservationist shares her emotional journey in helping save rare, scaly mammals that have been illegally trafficked and now face extinction."
Æon Flux,Karyn Kusama,United States,2005,,93 min,"Action & Adventure, Sci-Fi & Fantasy","Aiming to hasten an uprising, the leader of an underground rebellion dispatches acrobatic assassin Aeon Flux to eliminate the government's top leader."
Pyar Ke Do Pal,Rajiv Mehra,India,1986,4,153 min,"Dramas, International Movies, Music & Musicals","Twins separated by a court order meet at camp and decide to reunite their parents, unaware of the dark secret that drove them apart years before."
Sairat,Nagraj Manjule,India,2016,9,173 min,"Dramas, International Movies, Romantic Movies","When two college students – a rich man’s daughter and a fisherman’s son – defy social edicts by falling in love, violence erupts in their village."
Old Money,David Schalko,United States,2015,,1 Season,"International TV Shows, TV Comedies, TV Dramas","Backstabbing, blackmail and revenge consume the dysfunctional family of a wealthy patriarch as they compete to find him a new liver at all costs."
Kristy,Oliver Blackburn,United States,2013,,85 min,Horror Movies,"Opting to stay on campus over the Thanksgiving holiday, coed Justine and a handful of friends find their break violently disrupted by a sadistic gang."
6 Balloons,Marja Lewis Ryan,United States,2018,,75 min,"Dramas, Independent Movies",A loyal sister struggles to stay afloat while driving her heroin-addicted brother to a detox center and looking after his 2-year-old daughter.
